Match Number,Round Number,Date,Location,Home Team,Away Team,Result
5,1,08/08/2025 19:00,Fortuna Sittard Stadion,Fortuna Sittard,Go Ahead Eagles,2 - 2
8,1,09/08/2025 15:30,Goffertstadion,N.E.C. Nijmegen,Excelsior Rotterdam,5 - 0
9,1,09/08/2025 17:45,De Kuip,Feyenoord,NAC Breda,2 - 0
2,1,09/08/2025 19:00,Abe Lenstra Stadion,sc Heerenveen,FC Volendam,1 - 1
7,1,09/08/2025 20:00,Philips Stadion,PSV,Sparta Rotterdam,6 - 1
1,1,10/08/2025 11:15,MAC³PARK Stadion,PEC Zwolle,FC Twente,1 - 0
3,1,10/08/2025 13:30,AFAS Stadion,AZ,FC Groningen,4 - 1
6,1,10/08/2025 13:30,Johan Cruyff Arena,Ajax,Telstar,2 - 0
4,1,10/08/2025 15:45,Stadion Galgenwaard,FC Utrecht,Heracles Almelo,4 - 0
11,2,15/08/2025 19:00,Sportpark Schoonenberg,Telstar,PEC Zwolle,0 - 2
14,2,16/08/2025 17:45,Van Donge & De Roo Stadion,Excelsior Rotterdam,Feyenoord,1 - 2
12,2,16/08/2025 19:00,Asito Stadion,Heracles Almelo,N.E.C. Nijmegen,1 - 4
18,2,16/08/2025 20:00,Euroborg,FC Groningen,sc Heerenveen,2 - 1
15,2,17/08/2025 11:15,De Adelaarshorst,Go Ahead Eagles,Ajax,2 - 2
13,2,17/08/2025 13:30,Sparta Stadion Het Kasteel,Sparta Rotterdam,FC Utrecht,2 - 1
16,2,17/08/2025 13:30,De Grolsch Veste,FC Twente,PSV,0 - 2
17,2,17/08/2025 15:45,Kras Stadion,FC Volendam,AZ,2 - 2
10,2,17/08/2025 19:00,Rat Verlegh Stadion,NAC Breda,Fortuna Sittard,2 - 1
27,3,23/08/2025 15:30,De Adelaarshorst,Go Ahead Eagles,Sparta Rotterdam,0 - 3
22,3,23/08/2025 17:45,Philips Stadion,PSV,FC Groningen,4 - 2
23,3,23/08/2025 20:00,Sportpark Schoonenberg,Telstar,FC Volendam,2 - 2
24,3,24/08/2025 11:15,Abe Lenstra Stadion,sc Heerenveen,FC Twente,1 - 2
19,3,24/08/2025 13:30,Goffertstadion,N.E.C. Nijmegen,NAC Breda,3 - 0
21,3,24/08/2025 13:30,Stadion Galgenwaard,FC Utrecht,Excelsior Rotterdam,4 - 1
26,3,24/08/2025 15:45,Johan Cruyff Arena,Ajax,Heracles Almelo,2 - 0
20,3,17/09/2025 19:00,De Kuip,Feyenoord,Fortuna Sittard,2 - 0
25,3,24/09/2025 19:00,AFAS Stadion,AZ,PEC Zwolle,2 - 2
35,4,29/08/2025 19:00,Euroborg,FC Groningen,Heracles Almelo,4 - 0
32,4,30/08/2025 15:30,Kras Stadion,FC Volendam,Ajax,1 - 1
29,4,30/08/2025 17:45,Abe Lenstra Stadion,sc Heerenveen,Go Ahead Eagles,2 - 2
28,4,30/08/2025 19:00,Philips Stadion,PSV,Telstar,0 - 2
34,4,30/08/2025 20:00,Van Donge & De Roo Stadion,Excelsior Rotterdam,FC Twente,1 - 0
33,4,31/08/2025 11:15,Fortuna Sittard Stadion,Fortuna Sittard,N.E.C. Nijmegen,3 - 2
30,4,31/08/2025 13:30,Sparta Stadion Het Kasteel,Sparta Rotterdam,Feyenoord,0 - 4
36,4,31/08/2025 13:30,MAC³PARK Stadion,PEC Zwolle,FC Utrecht,0 - 2
31,4,31/08/2025 15:45,Rat Verlegh Stadion,NAC Breda,AZ,0 - 1
41,5,13/09/2025 15:30,Johan Cruyff Arena,Ajax,PEC Zwolle,3 - 1
39,5,13/09/2025 17:45,Goffertstadion,N.E.C. Nijmegen,PSV,3 - 5
43,5,13/09/2025 18:10,De Adelaarshorst,Go Ahead Eagles,FC Volendam,3 - 0
37,5,13/09/2025 20:00,De Grolsch Veste,FC Twente,NAC Breda,2 - 2
38,5,13/09/2025 20:00,De Kuip,Feyenoord,sc Heerenveen,1 - 0
44,5,14/09/2025 11:15,Van Donge & De Roo Stadion,Excelsior Rotterdam,Sparta Rotterdam,0 - 1
40,5,14/09/2025 13:30,Stadion Galgenwaard,FC Utrecht,FC Groningen,0 - 1
42,5,14/09/2025 13:30,Asito Stadion,Heracles Almelo,AZ,1 - 2
45,5,14/09/2025 15:45,Sportpark Schoonenberg,Telstar,Fortuna Sittard,1 - 3
54,6,19/09/2025 19:00,Sparta Stadion Het Kasteel,Sparta Rotterdam,FC Twente,1 - 5
50,6,20/09/2025 15:30,Kras Stadion,FC Volendam,Excelsior Rotterdam,1 - 2
47,6,20/09/2025 17:45,Euroborg,FC Groningen,Telstar,2 - 0
49,6,20/09/2025 19:00,Fortuna Sittard Stadion,Fortuna Sittard,FC Utrecht,1 - 0
52,6,20/09/2025 20:00,Rat Verlegh Stadion,NAC Breda,Heracles Almelo,2 - 1
51,6,21/09/2025 11:15,MAC³PARK Stadion,PEC Zwolle,Go Ahead Eagles,0 - 2
48,6,21/09/2025 13:30,Philips Stadion,PSV,Ajax,2 - 2
53,6,21/09/2025 13:30,Abe Lenstra Stadion,sc Heerenveen,N.E.C. Nijmegen,3 - 2
46,6,21/09/2025 15:45,AFAS Stadion,AZ,Feyenoord,3 - 3
60,7,26/09/2025 19:00,De Grolsch Veste,FC Twente,Fortuna Sittard,3 - 2
58,7,27/09/2025 15:30,Johan Cruyff Arena,Ajax,NAC Breda,2 - 1
63,7,27/09/2025 17:45,Kras Stadion,FC Volendam,PEC Zwolle,2 - 1
61,7,27/09/2025 19:00,Van Donge & De Roo Stadion,Excelsior Rotterdam,PSV,1 - 2
57,7,27/09/2025 20:00,Asito Stadion,Heracles Almelo,Sparta Rotterdam,3 - 0
55,7,28/09/2025 11:15,Goffertstadion,N.E.C. Nijmegen,AZ,2 - 1
56,7,28/09/2025 13:30,Euroborg,FC Groningen,Feyenoord,0 - 1
59,7,28/09/2025 13:30,Stadion Galgenwaard,FC Utrecht,sc Heerenveen,2 - 2
62,7,28/09/2025 15:45,Sportpark Schoonenberg,Telstar,Go Ahead Eagles,4 - 2
72,8,03/10/2025 19:00,Rat Verlegh Stadion,NAC Breda,FC Groningen,1 - 2
66,8,04/10/2025 15:30,Sparta Stadion Het Kasteel,Sparta Rotterdam,Ajax,3 - 3
70,8,04/10/2025 17:45,Fortuna Sittard Stadion,Fortuna Sittard,FC Volendam,1 - 0
68,8,04/10/2025 19:00,MAC³PARK Stadion,PEC Zwolle,PSV,0 - 4
65,8,04/10/2025 20:00,Abe Lenstra Stadion,sc Heerenveen,Excelsior Rotterdam,2 - 1
64,8,05/10/2025 11:15,De Grolsch Veste,FC Twente,Heracles Almelo,2 - 1
67,8,05/10/2025 13:30,De Kuip,Feyenoord,FC Utrecht,3 - 2
69,8,05/10/2025 15:45,AFAS Stadion,AZ,Telstar,2 - 1
71,8,05/10/2025 19:00,De Adelaarshorst,Go Ahead Eagles,N.E.C. Nijmegen,1 - 1
75,9,18/10/2025 15:45,Goffertstadion,N.E.C. Nijmegen,FC Twente,3 - 3
73,9,18/10/2025 17:45,Philips Stadion,PSV,Go Ahead Eagles,2 - 1
81,9,18/10/2025 17:45,Stadion Galgenwaard,FC Utrecht,FC Volendam,3 - 1
74,9,18/10/2025 20:00,Johan Cruyff Arena,Ajax,AZ,0 - 2
79,9,18/10/2025 20:00,Rat Verlegh Stadion,NAC Breda,PEC Zwolle,2 - 2
77,9,19/10/2025 11:15,Sportpark Schoonenberg,Telstar,sc Heerenveen,2 - 3
78,9,19/10/2025 13:30,Van Donge & De Roo Stadion,Excelsior Rotterdam,Fortuna Sittard,1 - 0
80,9,19/10/2025 13:30,Euroborg,FC Groningen,Sparta Rotterdam,0 - 2
76,9,19/10/2025 15:45,Asito Stadion,Heracles Almelo,Feyenoord,0 - 7
90,10,24/10/2025 19:00,Abe Lenstra Stadion,sc Heerenveen,NAC Breda,3 - 3
84,10,25/10/2025 15:40,Fortuna Sittard Stadion,Fortuna Sittard,FC Groningen,1 - 2
89,10,25/10/2025 17:45,Sparta Stadion Het Kasteel,Sparta Rotterdam,Telstar,1 - 0
83,10,25/10/2025 19:00,Kras Stadion,FC Volendam,Heracles Almelo,3 - 0
82,10,25/10/2025 20:00,MAC³PARK Stadion,PEC Zwolle,N.E.C. Nijmegen,2 - 2
85,10,26/10/2025 11:15,De Grolsch Veste,FC Twente,Ajax,2 - 3
86,10,26/10/2025 13:30,De Kuip,Feyenoord,PSV,2 - 3
87,10,26/10/2025 15:45,AFAS Stadion,AZ,FC Utrecht,4 - 1
88,10,26/10/2025 19:00,De Adelaarshorst,Go Ahead Eagles,Excelsior Rotterdam,2 - 0
97,11,31/10/2025 19:00,Philips Stadion,PSV,Fortuna Sittard,5 - 2
99,11,01/11/2025 15:30,Johan Cruyff Arena,Ajax,sc Heerenveen,1 - 1
93,11,01/11/2025 17:45,Rat Verlegh Stadion,NAC Breda,Go Ahead Eagles,1 - 0
91,11,01/11/2025 19:00,De Kuip,Feyenoord,FC Volendam,3 - 1
98,11,01/11/2025 20:00,Sportpark Schoonenberg,Telstar,Excelsior Rotterdam,2 - 2
96,11,02/11/2025 11:15,Asito Stadion,Heracles Almelo,PEC Zwolle,8 - 2
92,11,02/11/2025 13:30,Euroborg,FC Groningen,FC Twente,1 - 1
95,11,02/11/2025 13:30,Sparta Stadion Het Kasteel,Sparta Rotterdam,AZ,0 - 1
