Match Number,Round Number,Date,Location,Home Team,Away Team,Result
213,24,01/03/2026 17:00,Samsun 19 Mayis Stadium,Samsunspor,Gaziantep,0 - 0
214,24,01/03/2026 17:00,Antalya Stadium,Antalyaspor,Fenerbahçe,2 - 2
223,25,07/03/2026 13:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Göztepe,2 - 1
224,25,07/03/2026 17:00,Besiktas Stadyumu,Besiktas,Galatasaray,0 - 1
219,25,08/03/2026 10:30,Rize City Stadium,Çaykur Rizespor,Antalyaspor,1 - 0
222,25,08/03/2026 10:30,Gaziantep Stadium,Gaziantep,Fatih Karagümrük,1 - 1
218,25,08/03/2026 13:00,Konya Metropolitan Municipality Stadium,Konyaspor,Kasimpasa,1 - 1
221,25,08/03/2026 17:00,Ülker Stadium,Fenerbahçe,Samsunspor,3 - 2
217,25,09/03/2026 13:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Kocaelispor,0 - 1
220,25,09/03/2026 17:00,RHG Enertürk Enerji Stadium,Kayserispor,Trabzonspor,1 - 3
225,25,09/03/2026 17:00,Alanya Oba Stadium,Alanyaspor,Gençlerbirligi,0 - 0
231,26,13/03/2026 17:00,Antalya Stadium,Antalyaspor,Gaziantep,1 - 4
232,26,13/03/2026 17:00,Atatürk Olympic Stadium,Fatih Karagümrük,Fenerbahçe,2 - 0
227,26,14/03/2026 10:30,Kocaeli Stadium,Kocaelispor,Konyaspor,1 - 2
229,26,14/03/2026 17:00,Gürsel Aksel Stadium,Göztepe,Alanyaspor,2 - 2
230,26,14/03/2026 17:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Istanbul Basaksehir,3 - 0
233,26,14/03/2026 17:00,Papara Park,Trabzonspor,Çaykur Rizespor,1 - 0
226,26,15/03/2026 13:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Eyüpspor,1 - 0
228,26,15/03/2026 17:00,Eryaman Stadium,Gençlerbirligi,Besiktas,0 - 2
234,26,15/03/2026 17:00,Samsun 19 Mayis Stadium,Samsunspor,Kayserispor,2 - 1
240,27,17/03/2026 17:00,Ülker Stadium,Fenerbahçe,Gaziantep,4 - 1
243,27,18/03/2026 13:00,Alanya Oba Stadium,Alanyaspor,Kocaelispor,5 - 0
235,27,18/03/2026 17:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Trabzonspor,0 - 1
237,27,18/03/2026 17:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Antalyaspor,0 - 0
239,27,19/03/2026 13:00,RHG Enertürk Enerji Stadium,Kayserispor,Fatih Karagümrük,1 - 0
236,27,19/03/2026 17:00,Besiktas Stadyumu,Besiktas,Kasimpasa,2 - 1
242,27,19/03/2026 17:00,Konya Metropolitan Municipality Stadium,Konyaspor,Gençlerbirligi,1 - 0
241,27,08/04/2026 18:00,Gürsel Aksel Stadium,Göztepe,Galatasaray,1 - 3
238,27,09/04/2026 18:00,Rize City Stadium,Çaykur Rizespor,Samsunspor,4 - 1
249,28,04/04/2026 12:30,Eryaman Stadium,Gençlerbirligi,Göztepe,0 - 2
252,28,04/04/2026 12:30,Recep Tayyip Erdogan Stadium,Kasimpasa,Kayserispor,2 - 0
247,28,04/04/2026 15:00,Gaziantep Stadium,Gaziantep,Alanyaspor,1 - 1
250,28,04/04/2026 18:00,Papara Park,Trabzonspor,Galatasaray,2 - 1
245,28,05/04/2026 12:30,Samsun 19 Mayis Stadium,Samsunspor,Konyaspor,2 - 2
251,28,05/04/2026 12:30,Atatürk Olympic Stadium,Fatih Karagümrük,Çaykur Rizespor,2 - 1
244,28,05/04/2026 15:00,Antalya Stadium,Antalyaspor,Eyüpspor,3 - 0
246,28,05/04/2026 18:00,Ülker Stadium,Fenerbahçe,Besiktas,1 - 0
248,28,06/04/2026 18:00,Kocaeli Stadium,Kocaelispor,Istanbul Basaksehir,0 - 0
255,29,10/04/2026 18:00,Besiktas Stadyumu,Besiktas,Antalyaspor,4 - 2
260,29,11/04/2026 12:30,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Gençlerbirligi,3 - 0
256,29,11/04/2026 15:00,Alanya Oba Stadium,Alanyaspor,Trabzonspor,1 - 1
259,29,11/04/2026 18:00,RHG Enertürk Enerji Stadium,Kayserispor,Fenerbahçe,0 - 4
257,29,12/04/2026 12:30,Konya Metropolitan Municipality Stadium,Konyaspor,Fatih Karagümrük,3 - 0
254,29,12/04/2026 15:00,Gürsel Aksel Stadium,Göztepe,Kasimpasa,3 - 3
261,29,12/04/2026 18:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Kocaelispor,1 - 1
253,29,13/04/2026 18:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Samsunspor,1 - 2
258,29,13/04/2026 18:00,Rize City Stadium,Çaykur Rizespor,Gaziantep,2 - 1
263,30,17/04/2026 18:00,Antalya Stadium,Antalyaspor,Konyaspor,0 - 2
269,30,17/04/2026 18:00,Ülker Stadium,Fenerbahçe,Çaykur Rizespor,2 - 2
262,30,18/04/2026 12:30,Atatürk Olympic Stadium,Fatih Karagümrük,Eyüpspor,1 - 2
267,30,18/04/2026 15:00,Kocaeli Stadium,Kocaelispor,Göztepe,1 - 1
268,30,18/04/2026 18:00,Eryaman Stadium,Gençlerbirligi,Galatasaray,1 - 2
265,30,19/04/2026 12:30,Recep Tayyip Erdogan Stadium,Kasimpasa,Alanyaspor,1 - 0
264,30,19/04/2026 15:00,Samsun 19 Mayis Stadium,Samsunspor,Besiktas,2 - 1
266,30,19/04/2026 18:00,Papara Park,Trabzonspor,Istanbul Basaksehir,1 - 1
270,30,20/04/2026 18:00,Gaziantep Stadium,Gaziantep,Kayserispor,3 - 0
272,31,24/04/2026 18:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Kasimpasa,4 - 0
271,31,25/04/2026 12:30,Recep Tayyip Erdogan Stadium,Eyüpspor,Gaziantep,3 - 0
278,31,25/04/2026 15:00,RHG Enertürk Enerji Stadium,Kayserispor,Çaykur Rizespor,2 - 0
273,31,25/04/2026 18:00,Gürsel Aksel Stadium,Göztepe,Antalyaspor,2 - 0
279,31,26/04/2026 12:30,Eryaman Stadium,Gençlerbirligi,Kocaelispor,1 - 0
277,31,26/04/2026 18:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Fenerbahçe,3 - 0
275,31,27/04/2026 15:00,Alanya Oba Stadium,Alanyaspor,Samsunspor,2 - 3
274,31,27/04/2026 18:00,Konya Metropolitan Municipality Stadium,Konyaspor,Trabzonspor,2 - 1
276,31,27/04/2026 18:00,Besiktas Stadyumu,Besiktas,Fatih Karagümrük,0 - 0
281,32,01/05/2026 15:00,Rize City Stadium,Çaykur Rizespor,Konyaspor,3 - 2
282,32,01/05/2026 18:00,Gaziantep Stadium,Gaziantep,Besiktas,0 - 2
284,32,02/05/2026 18:00,Ülker Stadium,Fenerbahçe,Istanbul Basaksehir,3 - 1
285,32,02/05/2026 18:00,Papara Park,Trabzonspor,Göztepe,1 - 1
286,32,02/05/2026 18:00,Samsun 19 Mayis Stadium,Samsunspor,Galatasaray,4 - 1
280,32,03/05/2026 18:00,RHG Enertürk Enerji Stadium,Kayserispor,Eyüpspor,1 - 1
283,32,03/05/2026 18:00,Antalya Stadium,Antalyaspor,Alanyaspor,0 - 0
287,32,03/05/2026 18:00,Atatürk Olympic Stadium,Fatih Karagümrük,Gençlerbirligi,1 - 0
288,32,03/05/2026 18:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Kocaelispor,1 - 1
289,33,09/05/2026 18:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Çaykur Rizespor,4 - 0
290,33,09/05/2026 18:00,Eryaman Stadium,Gençlerbirligi,Kasimpasa,3 - 2
291,33,09/05/2026 18:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Antalyaspor,4 - 2
292,33,09/05/2026 18:00,Besiktas Stadyumu,Besiktas,Trabzonspor,1 - 2
293,33,09/05/2026 18:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Samsunspor,3 - 0
294,33,09/05/2026 18:00,Kocaeli Stadium,Kocaelispor,Fatih Karagümrük,0 - 1
295,33,09/05/2026 18:00,Gürsel Aksel Stadium,Göztepe,Gaziantep,2 - 1
296,33,09/05/2026 18:00,Konya Metropolitan Municipality Stadium,Konyaspor,Fenerbahçe,0 - 3
297,33,09/05/2026 18:00,Alanya Oba Stadium,Alanyaspor,Kayserispor,3 - 1
300,34,15/05/2026 18:00,Rize City Stadium,Çaykur Rizespor,Besiktas,2 - 2
301,34,16/05/2026 15:00,Atatürk Olympic Stadium,Fatih Karagümrük,Alanyaspor,2 - 1
302,34,16/05/2026 18:00,Gaziantep Stadium,Gaziantep,Istanbul Basaksehir,1 - 2
303,34,16/05/2026 18:00,Samsun 19 Mayis Stadium,Samsunspor,Göztepe,3 - 0
299,34,17/05/2026 15:00,RHG Enertürk Enerji Stadium,Kayserispor,Konyaspor,2 - 1
298,34,17/05/2026 18:00,Ülker Stadium,Fenerbahçe,Eyüpspor,3 - 3
304,34,17/05/2026 18:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Galatasaray,1 - 0
305,34,17/05/2026 18:00,Papara Park,Trabzonspor,Gençlerbirligi,0 - 3
306,34,17/05/2026 18:00,Antalya Stadium,Antalyaspor,Kocaelispor,1 - 0
